zilo_cyrillic	eng_translation	pos
бешен	bed	Adjective
итIи	straight	Adjective
гургума	round	Adjective
бечIугу	gratis	Adjective
ечIуха	big	Adjective
лъолколъи	light	Adjective
ерцIом	clean	Adjective
хъелла	thin	Adjective
бискин	poor	Adjective
ечIугу	naked	Adjective
къеча	secret	Adjective
гьиндулъу	there	Adverb
лъакьу	last_night	Adverb
иннагуло	constantly	Adverb
гьолъу	here	Adverb
гьеделъу	there	Adverb
щела	tomorrow	Adverb
гьинджелло	still	Adverb
лъоба	up	Adverb
зуди	up	Adverb
колIи	a_little	Adverb
анзи	snow	Noun
лажбар	paint	Noun
сехIру	magic	Noun
бешен	nest	Noun
бахIарай	bride	Noun
хIечIинкIа	maize	Noun
муха	fairy_tale	Noun
онщи	earth	Noun
агьуллулъи	descendants	Noun
гожо	molartooth	Noun
мига	spindle	Noun
бурчIина	barley	Noun
хIарпи	letter	Noun
тIамса	carpet	Noun
бел	metal_shovel	Noun
гьонно	forehead	Noun
милки	house	Noun
гъажу	arm	Noun
урусс	Russian	Noun
рекун	thread	Noun
гурдо	shirt	Noun
тохтур	doctor	Noun
тото	spittle	Noun
къванкIва	throat	Noun
эпалогьоли	vetch	Noun
къаму	rooster_comb	Noun
ххин	board	Noun
кьерччин	lizard	Noun
ццана	splinter	Noun
аскар	army	Noun
данбихъур	sacrifice	Noun
гьорчIчIи	female	Noun
дунгил	hole	Noun
ритIучIи	deer	Noun
кIол	mouth	Noun
цIекIа	thimble	Noun
ботIи	blind	Noun
мокьи	dream	Noun
чирахъи	lamp	Noun
михъур	line	Noun
кошши	broth	Noun
гьинцIу	door	Noun
ситIа	straw	Noun
анжиди	axe	Noun
сандиги	chest	Noun
зар	ice	Noun
орчоги	trousers	Noun
бежун	needle	Noun
гиза	basket	Noun
ала	lid	Noun
рацIцI	ask	Verb
ах	fight	Verb
биконн	feed	Verb
берш	change	Verb
бих	take	Verb
рулI	say	Verb
укк	fall	Verb
чIамм	gnaw	Verb
гьаъ	see	Verb
бичIчI	understand	Verb
ергъ	rock	Verb
екъаш	hide (tr)	Verb
уш	win	Verb
канн	hew	Verb
иъ	depart	Verb
ацI	stick	Verb
ик	burn	Verb
еккв	stay	Verb
игь	lose	Verb
чолт	be_hungry	Verb
кким	smile	Verb
уш	smear	Verb
вед	talk	Verb
бих	buy	Verb
у̃ъуш	crow	Verb
ихохъ	crush	Verb
бачI	begin (intr)	Verb
шанн	rest	Verb
